c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,uq,dataset
0.07279209357721461,0.04509437385138386,0.036998651238730744,0.06616502212441731,0.05242974215786028,0.019818114415970596,0.02301412649960957,0.060504957289226474,0.0809398736423653,0.042791225953006315,0.08037512915769464,0.05454359022897392,0.06530844040604813,0.033741116711231,0.07053469313709251,0.027336472555468793,0.03655379664466056,0.03446361105195492,0.04246152875385501,0.05413344060323545,0.1148797551722234,/home/beams/WZHENG/EventDetection/same_exp_patches/park_ss_ff_000315_372.edf.h5
0.07252028429460973,0.045264901356479446,0.03627062498689645,0.06535002201396314,0.050464389793907376,0.02056733127869677,0.023858942910455583,0.0641130469421557,0.07472168060884332,0.045181038639746735,0.08042434534666751,0.05526553032685494,0.06532905633477996,0.033733777805732015,0.06564354152252762,0.027947250351175127,0.036438350420361865,0.03658511017464411,0.04180556429125522,0.0585152106002474,0.11520640711155838,park_ss_ff_0MPa_000315.edf.h5
0.06936341242058862,0.04630710056614374,0.0365832577034444,0.06568996067245776,0.051730844029560484,0.02210553610786983,0.02167336531397208,0.059769220796058606,0.08347378884135011,0.04393016119970612,0.08116167509399715,0.053286658887592375,0.06296728467090194,0.03448722935304032,0.07284238731146549,0.027766973507930334,0.036410389385885304,0.03498422576602273,0.04138035351570941,0.05408617485630321,0.1143740006050391,park_ss_ff_0MPa_000316.edf.h5
0.07332845035052842,0.04449094904258659,0.037312964319347074,0.06901747410275191,0.053301245160615254,0.018813435178403264,0.02373129643193471,0.05790520037668725,0.08295490216595165,0.0421261902270587,0.08312231871926337,0.054410379826305325,0.06610861148896097,0.03306476927906247,0.07190540964737889,0.026514596630741863,0.037250183111855184,0.032625300826619234,0.04089149314638485,0.05112482996756304,0.11388511039028984,park_ss_ff_0MPa_000317.edf.h5
0.06998607988007281,0.04325944961987365,0.035614091444480134,0.06538173251954171,0.04936288681871721,0.020773102045186852,0.024135346396830494,0.060306242638398115,0.07765285362458507,0.04657886283327979,0.07857372309669129,0.05328193596744833,0.06636684869900418,0.036299389656280115,0.06835849662704786,0.030174536888317807,0.037541492665167576,0.037562908234286325,0.04257415140807367,0.05621586893671699,0.11898490202377128,park_ss_ff_0MPa_000318.edf.h5
0.07574763487057927,0.04645600965099791,0.03566213041545853,0.06427649262418252,0.052170416305106986,0.020423712671167642,0.02476242883447269,0.06330292704607506,0.07346187220893564,0.04224428030222862,0.07780058837224069,0.05424453427585769,0.06450930178416474,0.0345615780228153,0.06751465639484433,0.028042921543313087,0.0378420707316557,0.03699549196808398,0.041059070033228215,0.05892188194459142,0.11579081038752143,park_ss_ff_50MPa_000378.edf.h5
0.07087114735411461,0.04487263799377439,0.03665219869349818,0.06442632294269805,0.05195317637774563,0.02097856109430488,0.021899250295935816,0.060655881450304705,0.08347582094787145,0.042724363189968875,0.08093296505765268,0.055285194440790913,0.06416326888508922,0.03461352974702968,0.07339208207286597,0.027730281906265072,0.036323381121487135,0.034766977947301506,0.04024727081415231,0.05403568766714893,0.11699329212153098,park_ss_ff_50MPa_000379.edf.h5
0.07172039100767898,0.04515411435049518,0.037004556052276955,0.06898248165814636,0.05332506256550662,0.019978182284870912,0.023657247973305384,0.05850142242946675,0.08515325875382344,0.04194562683151162,0.08265063848901628,0.05627687108297149,0.06273662595452503,0.03294047186156446,0.0705653355008449,0.026074308570939658,0.035592821543924194,0.033453829864601825,0.042929563003999915,0.05135719022053004,0.11283181108425488,park_ss_ff_50MPa_000380.edf.h5
0.07112605335545562,0.04292014146618347,0.034733441033925685,0.06610487709033751,0.049447670610837005,0.02091429070427455,0.025193206130201283,0.061149194428677466,0.07697681526437584,0.0446011439549404,0.07798105051739947,0.05357376762869493,0.06475134261887089,0.03503907785006331,0.06931406365978256,0.029734095969960267,0.03872855084486748,0.038619394839104045,0.04261450465004585,0.05647731738200236,0.11723355018993145,park_ss_ff_50MPa_000381.edf.h5
0.0730186999109528,0.04630454140694568,0.03614012987859175,0.06641617618313315,0.05143018482722672,0.019981321807875246,0.024107899137762526,0.06350585322416002,0.07451729904654344,0.04165671220380948,0.08159763699150793,0.05349347349217036,0.06218100471298569,0.03553200269313468,0.06682883391612189,0.02725712920530808,0.03731294659340182,0.03674825706404882,0.04165671220380948,0.060313185500510395,0.11626088656256109,park_ss_ff_100MPa_000393.edf.h5
